#BGC Name	Clan Number	Family Number
CS211_c00001_NODE_1_...cluster095	2795	2795
CS211_c00001_NODE_1_...cluster103	2803	2803
CS211_c00001_NODE_1_...cluster111	2811	2811
CS211_c00001_NODE_1_...cluster112	2812	2812
CS211_c00001_NODE_1_...cluster121	2821	2821
CS211_c00001_NODE_1_...cluster123	2823	2823
CS211_c00001_NODE_1_...cluster140	2840	2840
CS211_c00001_NODE_1_...cluster154	2840	2840
CS211_c00001_NODE_1_...cluster149	2849	2849
CS211_c00001_NODE_1_...cluster155	2855	2855
CS211_c00001_NODE_1_...cluster156	2856	2856
CS211_c00001_NODE_1_...cluster158	2858	2858
CS211_c00001_NODE_1_...cluster171	2871	2871
CS211_c00001_NODE_1_...cluster173	2873	2873
CS211_c00001_NODE_1_...cluster176	2876	2876
CS211_c00001_NODE_1_...cluster177	2877	2877
CS211_c00001_NODE_1_...cluster178	2878	2878
CS211_c00001_NODE_1_...cluster179	2879	2879
CS211_c00001_NODE_1_...cluster181	2881	2881
CS211_c00001_NODE_1_...cluster184	2884	2884
CS211_c00001_NODE_1_...cluster185	2885	2885
CS211_c00001_NODE_1_...cluster192	2892	2892
CS211_c00001_NODE_1_...cluster200	2900	2900
CS202_c00001_NODE_1_...cluster182	2904	2904
CS211_c00001_NODE_1_...cluster204	2904	2904
CS211_c00001_NODE_1_...cluster208	2908	2908
CS211_c00001_NODE_1_...cluster209	2909	2909
CS211_c00001_NODE_1_...cluster213	2913	2913
CS211_c00001_NODE_1_...cluster215	2915	2915
CS211_c00001_NODE_1_...cluster227	2927	2927
CS211_c00001_NODE_1_...cluster233	2933	2933
CS211_c00001_NODE_1_...cluster234	2934	2934
CS211_c00001_NODE_1_...cluster235	2935	2935
CS211_c00001_NODE_1_...cluster238	2938	2938
CS211_c00001_NODE_1_...cluster241	2941	2941
CS211_c00001_NODE_1_...cluster242	2942	2942
CS211_c00001_NODE_1_...cluster247	2947	2947
CS211_c00001_NODE_1_...cluster249	2949	2949
CS211_c00001_NODE_1_...cluster250	2950	2950
CS211_c00001_NODE_1_...cluster256	2956	2956
CS211_c00001_NODE_1_...cluster257	2957	2957
CS211_c00001_NODE_1_...cluster260	2960	2960
CS211_c00001_NODE_1_...cluster263	2963	2963
CS211_c00001_NODE_1_...cluster264	2964	2964
CS211_c00001_NODE_1_...cluster265	2965	2965
CS211_c00001_NODE_1_...cluster269	2969	2969
CS211_c00001_NODE_1_...cluster275	2975	2975
CS211_c00001_NODE_1_...cluster277	2977	2977
CS783_c00001_NODE_1_...cluster010	2987	2987
CS202_c00001_NODE_1_...cluster031	3000	3000
CS203_c00001_NODE_1_...cluster030	3000	3000
CS203_c00001_NODE_1_...cluster196	3000	3000
CS204_c00001_NODE_1_...cluster040	3000	3000
CS783_c00001_NODE_1_...cluster023	3000	3000
CS783_c00001_NODE_1_...cluster045	3022	3022
CS200_c00001_NODE_1_...cluster030	3023	3023
CS203_c00001_NODE_1_...cluster195	3023	3023
CS204_c00001_NODE_1_...cluster133	3023	3023
CS783_c00001_NODE_1_...cluster046	3023	3023
CS783_c00001_NODE_1_...cluster047	3024	3024
CS203_c00001_NODE_1_...cluster170	3035	3035
CS204_c00001_NODE_1_...cluster095	3035	3035
CS204_c00001_NODE_1_...cluster140	3035	3035
CS211_c00001_NODE_1_...cluster090	3035	3035
CS783_c00001_NODE_1_...cluster058	3035	3035
CS211_c00001_NODE_1_...cluster019	3046	3046
CS783_c00001_NODE_1_...cluster069	3046	3046
CS783_c00001_NODE_1_...cluster071	3048	3048
CS200_c00001_NODE_1_...cluster017	3053	3053
CS211_c00001_NODE_1_...cluster006	3053	3053
CS783_c00001_NODE_1_...cluster076	3053	3053
CS783_c00001_NODE_1_...cluster077	3054	3054
CS200_c00001_NODE_1_...cluster164	3057	3057
CS203_c00001_NODE_1_...cluster037	3057	3057
CS204_c00001_NODE_1_...cluster108	3057	3057
CS211_c00001_NODE_1_...cluster228	3057	3057
CS783_c00001_NODE_1_...cluster080	3057	3057
CS783_c00001_NODE_1_...cluster081	3058	3058
CS783_c00001_NODE_1_...cluster084	3061	3061
CS783_c00001_NODE_1_...cluster089	3066	3066
CS783_c00001_NODE_1_...cluster097	3074	3074
CS783_c00001_NODE_1_...cluster098	3075	3075
CS783_c00001_NODE_1_...cluster103	3080	3080
CS783_c00001_NODE_1_...cluster104	3081	3081
CS200_c00001_NODE_1_...cluster240	3082	3082
CS783_c00001_NODE_1_...cluster105	3082	3082
CS211_c00001_NODE_1_...cluster251	3083	3083
CS783_c00001_NODE_1_...cluster106	3083	3083
CS783_c00001_NODE_1_...cluster113	3090	3090
CS783_c00001_NODE_1_...cluster120	3097	3097
CS783_c00001_NODE_1_...cluster121	3098	3098
CS783_c00001_NODE_1_...cluster124	3101	3101
CS783_c00001_NODE_1_...cluster126	3103	3103
CS783_c00001_NODE_1_...cluster127	3104	3104
CS783_c00001_NODE_1_...cluster133	3110	3110
CS783_c00001_NODE_1_...cluster139	3116	3116
CS783_c00001_NODE_1_...cluster145	3122	3122
CS783_c00001_NODE_1_...cluster147	3124	3124
CS783_c00001_NODE_1_...cluster154	3131	3131
CS783_c00001_NODE_1_...cluster157	3134	3134
CS783_c00001_NODE_1_...cluster160	3137	3137
